x,y,z
2.21,333.1731073838807,8.481371892983054
2.2,331.38178139847787,8.418296581673156
2.19,329.5672416938219,8.353426373299836
2.18,327.7336070203552,8.286763278766772
2.17,325.88499023131885,8.218310280854103
2.16,324.0254740739813,8.148071364746702
2.15,322.1590885050541,8.076051552081285
2.14,320.2897897345813,8.002256932421075
2.1300000000000003,318.42144114884024,7.926694697150971
2.12,316.55928142730386,7.849297489969772
2.1100000000000003,314.7039438404362,7.770230051791899
2.1,312.860420125663,7.689423654129665
2.09,311.0320546033909,7.6068902299212375
2.08,309.22203575741935,7.522642988255525
2.07,307.43339024540353,7.4366964488214204
2.06,305.66897894363325,7.349066479629058
2.05,303.93149497744514,7.259770334422897
2.04,302.22346366321307,7.16882668904418
2.03,300.5472440918476,7.076255680677161
